age,gender,race,income,education,loan_amount,approved
35,Male,White,75000,Bachelor,15000,1
28,Female,Black,45000,Bachelor,12000,0
42,Male,White,92000,Master,25000,1
31,Female,Hispanic,38000,High School,8000,0
55,Male,White,110000,PhD,40000,1
26,Female,Black,32000,Some College,6000,0
39,Male,Asian,85000,Master,20000,1
33,Female,White,62000,Bachelor,14000,1
47,Male,Hispanic,58000,Bachelor,18000,0
29,Female,Black,28000,High School,5000,0
52,Male,White,98000,Master,35000,1
36,Female,Asian,72000,Bachelor,16000,1
41,Male,Black,55000,Bachelor,15000,0
30,Female,Hispanic,35000,Some College,7000,0
48,Male,White,88000,Bachelor,22000,1
27,Female,Black,25000,High School,4500,0
44,Male,Asian,95000,PhD,28000,1
32,Female,White,58000,Bachelor,13000,1
38,Male,Hispanic,48000,Bachelor,11000,0
25,Female,Black,22000,Some College,4000,0
58,Male,White,120000,Master,45000,1
34,Female,Asian,68000,Bachelor,15500,1
43,Male,Black,52000,Bachelor,13000,0
29,Female,Hispanic,32000,High School,6000,0
50,Male,White,105000,Master,38000,1
37,Female,Black,42000,Bachelor,10000,0
46,Male,Asian,88000,Master,24000,1
31,Female,White,55000,Bachelor,12500,1
40,Male,Hispanic,50000,Bachelor,13500,0
28,Female,Black,26000,High School,5000,0
60,Male,White,130000,Master,50000,1
35,Female,Hispanic,40000,Bachelor,9000,0
45,Male,Asian,90000,PhD,26000,1
32,Female,Black,35000,Bachelor,8500,0
49,Male,White,95000,Master,32000,1
27,Female,Hispanic,28000,Some College,5500,0
53,Male,Black,60000,Bachelor,17000,0
38,Female,White,65000,Master,15000,1
41,Male,Asian,82000,Bachelor,21000,1
30,Female,Black,30000,High School,6000,0
